participantID,experience,camel1_score,camel2_score,camel3_score,camel4_score,camel5_score,camel1_time,camel2_time,camel3_time,camel4_time,camel5_time,camel_average,kebab1_score,kebab2_score,kebab3_score,kebab4_score,kebab5_score,kebab1_time,kebab2_time,kebab3_time,kebab4_time,kebab5_time,kebab_average
24e6c294-32f9-47ef-9ea9-2335341f1259,bachelor-inf,1,0,1,1,1,1676.0999999940395,4437.5999999940395,3681.3999999910593,4290.20000000298,2303.3999999910593,3277.7399999946356,1,1,1,1,1,2897.5999999940395,4573.20000000298,3991.3999999910593,4187.899999991059,68365.5,16803.119999995826
f016b9fd-1799-4b3b-a8a4-8b4f0dd87e26,no-experience,1,1,1,0,1,7248.900000000023,29147.20000000001,13586.299999999988,248251.5,11786.899999999965,62004.159999999996,1,1,1,1,1,7056.099999999977,13175.299999999988,8182.600000000035,15760.300000000047,11522.699999999953,11139.4
1f29dc05-6e9c-4eeb-b637-f656f0359709,more-three,0,0,1,1,1,3145.2000000029802,5655.699999988079,5900.5,4043.5,4040.0,4556.9799999982115,1,1,1,1,1,4537.4000000059605,5895.600000008941,6474.79999999702,131470.39999999106,3901.5999999940395,30455.959999999402
b58ce07a-705b-43e2-a9e5-35fdda544bc4,bachelor-inf,1,0,1,1,0,3053.199999988079,3294.8999999910593,3630.1000000089407,3745.5,2191.2000000029802,3182.979999998212,1,1,1,1,1,92421.70000000298,3250.699999988079,3295.0,2613.3999999910593,3467.0999999940395,21009.579999995232
9d8a6f15-f190-4e68-8b7c-3f2defdfe761,more-three,1,1,1,1,1,118474.70000000298,9831.89999999106,5897.5,5950.399999991059,5036.0999999940395,29038.119999995826,1,1,1,1,1,4122.79999999702,9900.699999988079,4999.5000192342,4995.100000008941,5381.100000008941,5879.8400038474365
0562b141-dce2-4f1e-a240-12803e1dd959,no-experience,1,0,0,1,1,4707.100000000006,11987.600000000006,10775.200000000012,3982.5,4264.200000000012,7143.320000000007,1,1,1,1,1,3600.2000000000116,10381.599999999977,7525.400000000023,142673.19999999998,4111.0,33658.28
d3d7734f-c406-460f-bf3b-4e2d405bc066,bachelor-inf,1,0,1,1,1,6152.0,9084.90000000596,8206.0,6248.20000000298,5848.5999999940395,7107.940000000596,1,1,1,1,1,6216.100000008941,10638.20000000298,4173.600000008941,150384.5,8177.0999999940395,35917.90000000298
97842511-1e75-4609-9d4c-aa4992f17317,bachelor-inf,0,1,1,1,1,80530.89999999106,2002.7000000029802,7490.5,2948.0999999940395,3514.5,19297.339999997617,1,1,1,0,1,2239.5999999940395,7156.800000011921,6140.399999991059,3467.7000000029802,2569.5,4314.8
93de7372-685b-40c4-84e9-01fd740a21b8,more-three,1,1,1,1,1,2966.4000000059605,3099.7000000029802,2890.5999999940395,37837.69999998808,2216.4000000059605,9802.159999999403,1,1,1,1,1,2599.5999999940395,4915.79999999702,4483.5,2399.5999999940395,3583.0999999940395,3596.319999995828
8792e96d-68e7-4e0a-a5eb-4a0bb85f31d2,more-three,1,1,1,1,1,2330.3999999910593,4236.0,3778.300000011921,4722.20000000298,3096.300000011921,3632.6400000035765,1,1,1,1,1,2122.4000000059605,4712.5999999940395,4195.300000011921,2792.4000000059605,221413.30000001192,47047.20000000596
